Transaction_ID,Patient_ID,Operation,Start_Time,End_Time,Latency_Seconds,Status
209,CLOUD_LAT_CNS_20260219_181204_P000004,GRANT,1771524773.023723543,1771524773.136920064,.113196521,SUCCESS
210,CLOUD_LAT_CNS_20260219_181204_P000005,REVOKE,1771524773.258154679,1771524773.364424248,.106269569,SUCCESS
211,CLOUD_LAT_CNS_20260219_181204_P000001,GRANT,1771524773.478730209,1771524773.587878383,.109148174,SUCCESS
212,CLOUD_LAT_CNS_20260219_181204_P000002,REVOKE,1771524773.702980174,1771524773.816763017,.113782843,SUCCESS
213,CLOUD_LAT_CNS_20260219_181204_P000003,GRANT,1771524773.931496094,1771524774.078132733,.146636639,SUCCESS
214,CLOUD_LAT_CNS_20260219_181204_P000004,REVOKE,1771524774.191877973,1771524774.293117459,.101239486,SUCCESS
215,CLOUD_LAT_CNS_20260219_181204_P000005,GRANT,1771524774.406608591,1771524774.523155334,.116546743,SUCCESS
216,CLOUD_LAT_CNS_20260219_181204_P000001,REVOKE,1771524774.637116784,1771524774.747151390,.110034606,SUCCESS
217,CLOUD_LAT_CNS_20260219_181204_P000002,GRANT,1771524774.861258144,1771524774.972426391,.111168247,SUCCESS
218,CLOUD_LAT_CNS_20260219_181204_P000003,REVOKE,1771524775.089651560,1771524775.199816271,.110164711,SUCCESS
219,CLOUD_LAT_CNS_20260219_181204_P000004,GRANT,1771524775.314595649,1771524775.430157157,.115561508,SUCCESS
